This spectrum was collected on:	2017-08-25	11:10:35
Integration Time:	5 	ms
--------------
Fit Parameters
--------------
Center:	7.899e-07	m
FWHM:	3.78e-08	m
-------------
Spectrum Data
-------------
Wavelength (m)	Corrected Signal	Applied Blank
7e-07	255.234000899	0.0
7.001e-07	289.324881761	0.0
7.002e-07	244.601088345	0.0
7.003e-07	282.715308765	0.0
7.004e-07	245.481159196	0.0
7.005e-07	291.815497826	0.0
7.006e-07	225.478099593	0.0
7.007e-07	249.96462673	0.0
7.008e-07	237.494827942	0.0
7.009e-07	294.68928225	0.0
7.01e-07	213.654981567	0.0
7.011e-07	225.646376347	0.0
7.012e-07	291.702523171	0.0
7.013e-07	296.051624543	0.0
7.014e-07	208.65598253	0.0
7.015e-07	250.537772487	0.0
7.016e-07	272.188270746	0.0
7.017e-07	258.475784366	0.0
7.018e-07	276.418109766	0.0
7.019e-07	219.44905167	0.0
7.02e-07	242.365493149	0.0
7.021e-07	299.858295791	0.0
7.022e-07	257.453029501	0.0
7.023e-07	302.185374757	0.0
7.024e-07	274.24841555	0.0
7.025e-07	226.930484267	0.0
7.026e-07	299.648550801	0.0
7.027e-07	249.965892671	0.0
7.028e-07	239.591037188	0.0
7.029e-07	272.755599653	0.0
7.03e-07	295.571348645	0.0
7.031e-07	300.564359138	0.0
7.032e-07	247.545444114	0.0
7.033e-07	312.164336334	0.0
7.034e-07	243.743067213	0.0
7.035e-07	298.449116353	0.0
7.036e-07	305.956103064	0.0
7.037e-07	305.112974187	0.0
7.038e-07	271.051717672	0.0
7.039e-07	321.027444445	0.0
7.04e-07	306.058894945	0.0
7.041e-07	297.629572859	0.0
7.042e-07	257.155547659	0.0
7.043e-07	325.21688948	0.0
7.044e-07	285.814533401	0.0
7.045e-07	274.303333759	0.0
7.046e-07	287.738730255	0.0
7.047e-07	260.887373292	0.0
7.048e-07	286.941746137	0.0
7.049e-07	301.763366835	0.0
7.05e-07	297.461519734	0.0
7.051e-07	335.911853242	0.0
7.052e-07	299.581148597	0.0
7.053e-07	353.5991908	0.0
7.054e-07	291.817041644	0.0
7.055e-07	273.456753719	0.0
7.056e-07	322.101465996	0.0
7.057e-07	346.462145058	0.0
7.058e-07	359.037163478	0.0
7.059e-07	333.904088065	0.0
7.06e-07	365.463064532	0.0
7.061e-07	348.046159133	0.0
7.062e-07	281.409039598	0.0
7.063e-07	329.078859256	0.0
7.064e-07	362.40692853	0.0
7.065e-07	370.158995137	0.0
7.066e-07	312.839342792	0.0
7.067e-07	295.786087538	0.0
7.068e-07	332.169261416	0.0
7.069e-07	350.384682901	0.0
7.07e-07	384.475695189	0.0
7.071e-07	347.858214455	0.0
7.072e-07	374.502046599	0.0
7.073e-07	364.559127907	0.0
7.074e-07	306.391354862	0.0
7.075e-07	378.198134823	0.0
7.076e-07	312.567950287	0.0
7.077e-07	307.152887651	0.0
7.078e-07	304.256891854	0.0
7.079e-07	307.791569751	0.0
7.08e-07	316.042461859	0.0
7.081e-07	316.625362958	0.0
7.082e-07	347.835127399	0.0
7.083e-07	373.032546874	0.0
7.084e-07	358.500839513	0.0
7.085e-07	373.486246783	0.0
7.086e-07	392.864673911	0.0
7.087e-07	371.858329669	0.0
7.088e-07	371.967173208	0.0
7.089e-07	366.714650688	0.0
7.09e-07	399.398509689	0.0
7.091e-07	359.343052934	0.0
7.092e-07	359.196093119	0.0
7.093e-07	389.248702023	0.0
7.094e-07	375.005960148	0.0
7.095e-07	334.743695331	0.0
7.096e-07	369.483570523	0.0
7.097e-07	378.844652372	0.0
7.098e-07	408.232499589	0.0
7.099e-07	352.761467586	0.0
7.1e-07	383.671040273	0.0
7.101e-07	424.60082733	0.0
7.102e-07	408.008194821	0.0
7.103e-07	399.594074311	0.0
7.104e-07	363.524175452	0.0
7.105e-07	405.608321972	0.0
7.106e-07	381.417521615	0.0
7.107e-07	431.050508623	0.0
7.108e-07	383.520010233	0.0
7.109e-07	384.157462376	0.0
7.11e-07	387.010989724	0.0
7.111e-07	459.900603172	0.0
7.112e-07	428.813337933	0.0
7.113e-07	399.793719055	0.0
7.114e-07	372.492048691	0.0
7.115e-07	455.799613446	0.0
7.116e-07	418.828934344	0.0
7.117e-07	386.206762865	0.0
7.118e-07	459.763067074	0.0
7.119e-07	454.112754521	0.0
7.12e-07	446.69822057	0.0
7.121e-07	417.092193778	0.0
7.122e-07	448.590750274	0.0
7.123e-07	394.046414569	0.0
7.124e-07	458.888578291	0.0
7.125e-07	490.634273208	0.0
7.126e-07	457.251229461	0.0
7.127e-07	399.130073353	0.0
7.128e-07	413.662624438	0.0
7.129e-07	459.206394411	0.0
7.13e-07	409.365216066	0.0
7.131e-07	438.846909109	0.0
7.132e-07	454.254937927	0.0
7.133e-07	432.313275097	0.0
7.134e-07	427.142379768	0.0
7.135e-07	514.58158286	0.0
7.136e-07	437.84076189	0.0
7.137e-07	492.803802343	0.0
7.138e-07	516.781576124	0.0
7.139e-07	502.049318028	0.0
7.14e-07	470.974401263	0.0
7.141e-07	454.365103151	0.0
7.142e-07	513.665084152	0.0
7.143e-07	470.876332806	0.0
7.144e-07	484.794608294	0.0
7.145e-07	514.365899052	0.0
7.146e-07	535.825936734	0.0
7.147e-07	520.045573725	0.0
7.148e-07	489.352806935	0.0
