This spectrum was collected on:	2017-09-29	10:40:04
Integration Time:	5	ms
--------------
Fit Parameters
--------------
Center:	6.862e-07	m
FWHM:	7.72e-08	m
-------------
Spectrum Data
-------------
Wavelength (m)	Raw Signal	Blank Signal
7e-07	80.7117442984	199.938096961
7.001e-07	119.104046324	196.12104397
7.002e-07	59.0746952201	255.070618242
7.003e-07	71.0413316464	233.560905177
7.004e-07	136.730733074	294.943968003
7.005e-07	109.751228673	236.300376607
7.006e-07	64.7180501786	204.903655879
7.007e-07	52.0962389555	230.401096211
7.008e-07	102.576111575	217.83875598
7.009e-07	107.751142435	244.192043339
7.01e-07	119.463453981	289.096984063
7.011e-07	134.180997103	217.179275582
7.012e-07	89.3889917578	255.302997606
7.013e-07	117.707175137	276.520302586
7.014e-07	104.993744752	249.137422946
7.015e-07	55.4089932774	284.799627837
7.016e-07	83.4928095309	239.087176035
7.017e-07	104.374545185	310.445972231
7.018e-07	85.5060102248	268.21748372
7.019e-07	60.0814937618	226.476036152
7.02e-07	122.225372034	242.757558893
7.021e-07	104.697588483	297.580450309
7.022e-07	138.873000439	254.71313029
7.023e-07	70.6211329088	248.479646711
7.024e-07	63.5204926199	235.362884834
7.025e-07	84.5753597616	256.141577921
7.026e-07	141.308547985	294.213821896
7.027e-07	75.6581991011	254.41668024
7.028e-07	113.491761808	234.783646233
7.029e-07	80.7323250683	291.830763641
7.03e-07	121.138570742	271.385647087
7.031e-07	117.87425454	330.318848459
7.032e-07	70.9707146049	245.931725901
7.033e-07	75.7555825777	328.891924198
7.034e-07	84.9417065278	259.811001843
7.035e-07	97.1943838281	288.236587952
7.036e-07	144.601733928	244.412714359
7.037e-07	140.218594214	311.405538158
7.038e-07	126.620537546	325.626945447
7.039e-07	88.5957496281	344.118134263
7.04e-07	106.919092355	335.201522145
7.041e-07	103.981359109	289.29889294
7.042e-07	89.1220437363	258.716626579
7.043e-07	106.464373551	269.250905249
7.044e-07	91.9342356184	289.178543528
7.045e-07	123.635385873	331.119945214
7.046e-07	78.8537065877	275.832752119
7.047e-07	134.912521694	271.692000983
7.048e-07	82.2425855193	310.719753318
7.049e-07	112.702518233	294.310213289
7.05e-07	127.623649343	322.991528204
7.051e-07	111.942532017	301.075744683
7.052e-07	145.543034406	357.334976516
7.053e-07	87.3739753976	269.282138584
7.054e-07	106.233286543	309.646421098
7.055e-07	115.365496035	341.426495501
7.056e-07	112.239004253	360.811742772
7.057e-07	128.440537886	310.991574316
7.058e-07	113.043309729	317.017012781
7.059e-07	149.480541247	373.919172019
7.06e-07	139.76864036	369.069515771
7.061e-07	110.29233317	343.456468804
7.062e-07	173.387565897	310.06816271
7.063e-07	132.813235611	331.182590138
7.064e-07	87.4435939292	296.313677557
7.065e-07	124.467557958	307.373684468
7.066e-07	109.944963693	338.019202407
7.067e-07	103.494661981	347.405854245
7.068e-07	132.480795814	343.1391255
7.069e-07	147.630521378	381.416227884
7.07e-07	167.763636574	365.385245221
7.071e-07	84.7483737643	298.913699932
7.072e-07	145.774324347	363.035261081
7.073e-07	86.1781580811	345.217183247
7.074e-07	108.130503104	370.664992879
7.075e-07	114.102200934	313.600331754
7.076e-07	103.024907152	329.090095356
7.077e-07	89.8345766564	385.388916223
7.078e-07	131.60399658	392.650331901
7.079e-07	131.64976192	309.944216999
7.08e-07	151.560778261	373.453760009
7.081e-07	125.247676681	406.40878727
7.082e-07	144.952083411	365.839980958
7.083e-07	166.46232121	354.877578207
7.084e-07	188.065891229	366.527522754
7.085e-07	96.111815089	340.051695204
7.086e-07	156.371780862	407.871690389
7.087e-07	171.199001761	334.422730293
7.088e-07	125.600848904	384.50962375
7.089e-07	170.238483279	349.577211516
7.09e-07	135.981837656	331.266917646
7.091e-07	101.68412199	426.333870645
7.092e-07	116.844780353	396.647084883
7.093e-07	148.70375864	428.901630272
7.094e-07	147.991535177	376.815796395
7.095e-07	114.801491978	392.346515364
7.096e-07	130.026328087	420.598832374
7.097e-07	113.274532549	353.147266005
7.098e-07	171.972900014	392.40895715
7.099e-07	101.571727602	438.506815072
7.1e-07	143.498767012	348.487362538
7.101e-07	116.664025242	406.197124783
7.102e-07	149.558173458	368.12414969
7.103e-07	145.72586953	399.73323391
7.104e-07	163.704357904	366.407447041
7.105e-07	176.52213356	369.571438845
7.106e-07	185.545768866	359.784867549
7.107e-07	168.043229924	392.477994336
7.108e-07	132.982700526	399.374073581
7.109e-07	206.714757593	385.823628088
7.11e-07	208.20262865	428.847599155
7.111e-07	175.773100011	421.979792679
7.112e-07	145.491858574	464.681085759
7.113e-07	127.631870509	445.634662406
7.114e-07	193.927839102	444.845254604
7.115e-07	115.411124994	459.802423968
7.116e-07	142.436641298	394.54988508
7.117e-07	176.662016353	429.152879255
7.118e-07	125.352247044	441.958955716
7.119e-07	200.155419825	387.959856303
7.12e-07	127.333201073	408.108524511
7.121e-07	137.464572611	423.159344222
7.122e-07	196.020050766	487.41616411
7.123e-07	133.18905279	411.99774108
7.124e-07	145.187448522	431.010177162
7.125e-07	121.792681106	452.013180796
7.126e-07	206.977691802	493.243389422
7.127e-07	133.515318457	480.874245952
7.128e-07	124.881709414	421.199300104
7.129e-07	154.919431826	443.484066868
7.13e-07	164.207894323	482.16204697
7.131e-07	160.35726759	456.658426401
